2021-06-05 16:31:19 - TextLog: VERBOSE: Rangecheck failed for Niki (4205, 448) (rg: 102/32, 16/32)
2021-06-05 16:31:19 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:19 - TextLog: VERBOSE: Rangecheck failed for Niki (4217, 494) (rg: 90/32, 30/32)
2021-06-05 16:31:19 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:19 - TextLog: VERBOSE: Rangecheck failed for Niki (4217, 494) (rg: 91/32, 29/32)
2021-06-05 16:31:19 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:19 - TextLog: VERBOSE: Rangecheck failed for Niki (4217, 494) (rg: 92/32, 29/32)
2021-06-05 16:31:19 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:20 - TextLog: VERBOSE: Rangecheck failed for Niki (4205, 448) (rg: 98/32, 23/32)
2021-06-05 16:31:20 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:21 - TextLog: VERBOSE: Rangecheck failed for Niki (4217, 494) (rg: 91/32, 28/32)
2021-06-05 16:31:21 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:21 - TextLog: VERBOSE: Rangecheck failed for Niki (4217, 494) (rg: 91/32, 28/32)
2021-06-05 16:31:21 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:21 - TextLog: VERBOSE: Rangecheck failed for Niki (4217, 494) (rg: 92/32, 29/32)
2021-06-05 16:31:21 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:22 - TextLog: VERBOSE: Rangecheck failed for Niki (4205, 448) (rg: 97/32, 21/32)
2021-06-05 16:31:22 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:22 - TextLog: VERBOSE: Rangecheck failed for Niki (4205, 448) (rg: 97/32, 22/32)
2021-06-05 16:31:22 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:22 - TextLog: VERBOSE: Rangecheck failed for Niki (4204, 448) (rg: 98/32, 22/32)
2021-06-05 16:31:22 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:22 - TextLog: VERBOSE: Rangecheck failed for Niki (4204, 448) (rg: 98/32, 22/32)
2021-06-05 16:31:22 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:23 - TextLog: VERBOSE: Rangecheck failed for Niki (4217, 494) (rg: 91/32, 29/32)
2021-06-05 16:31:23 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:23 - TextLog: VERBOSE: Rangecheck failed for Niki (4217, 494) (rg: 91/32, 29/32)
2021-06-05 16:31:23 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:23 - TextLog: VERBOSE: Rangecheck failed for Niki (4217, 494) (rg: 91/32, 29/32)
2021-06-05 16:31:23 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:23 - TextLog: VERBOSE: Rangecheck failed for Niki (4205, 448) (rg: 105/32, 17/32)
2021-06-05 16:31:23 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:23 - TextLog: VERBOSE: Rangecheck failed for Niki (4205, 448) (rg: 105/32, 17/32)
